img_id,version,ambiguous,r_id,directory,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthPucker,noseSneerLeft,noseSneerRight,cheekSquintLeft,cheekSquintRight
25_happy,b,False,mediapipe,Modified_images,0.2665,0.2934,0.0003,0.0239,0.0258,0.4586,0.1916,0.0078,0.0207,0.0291,0.4523,0.1466,0.0028,0.0044,0.0016,0.0,0.0,0.0,0.0
25_happy,g,False,mediapipe,Modified_images,0.1273,0.0819,0.0022,0.0466,0.1061,0.6252,0.2165,0.0139,0.0224,0.0055,0.2559,0.071,0.011,0.0179,0.0062,0.0,0.0,0.0,0.0
25_happy,l,False,mediapipe,Modified_images,0.5702,0.5517,0.0002,0.0036,0.0124,0.7368,0.1288,0.0133,0.0245,0.0374,0.3364,0.171,0.0203,0.0207,0.001,0.0,0.0,0.0,0.0
25_happy,o,False,mediapipe,Modified_images,0.1477,0.0893,0.002,0.0469,0.0994,0.6188,0.2284,0.0133,0.0207,0.0069,0.2912,0.1129,0.0084,0.0121,0.005,0.0,0.0,0.0,0.0
26_neutral,b,False,mediapipe,Modified_images,0.06,0.037,0.0211,0.0628,0.0719,0.3118,0.1726,0.0137,0.0037,0.0017,0.0002,0.0002,0.0666,0.0536,0.0756,0.0,0.0,0.0,0.0
26_neutral,g,False,mediapipe,Modified_images,0.2638,0.1975,0.0047,0.0087,0.0109,0.5791,0.3597,0.0056,0.0028,0.0025,0.0001,0.0001,0.015,0.0153,0.0876,0.0,0.0,0.0,0.0
26_neutral,l,False,mediapipe,Modified_images,0.3727,0.2709,0.0021,0.0041,0.0061,0.6392,0.29,0.0052,0.0022,0.0042,0.0,0.0,0.0069,0.0057,0.3106,0.0,0.0,0.0,0.0
26_neutral,o,False,mediapipe,Modified_images,0.3182,0.2476,0.0016,0.0067,0.0093,0.6495,0.366,0.0056,0.0023,0.0012,0.0008,0.0007,0.0196,0.0292,0.0778,0.0,0.0,0.0,0.0
27_sad,b,False,mediapipe,Modified_images,0.1609,0.144,0.003,0.0231,0.0141,0.5421,0.465,0.0032,0.0018,0.0073,0.0002,0.0003,0.0156,0.0184,0.153,0.0,0.0,0.0,0.0
27_sad,g,False,mediapipe,Modified_images,0.0733,0.0851,0.0104,0.0628,0.0205,0.5349,0.4532,0.0031,0.0022,0.0059,0.0006,0.001,0.0072,0.0059,0.0419,0.0,0.0,0.0,0.0
27_sad,l,False,mediapipe,Modified_images,0.1728,0.145,0.0043,0.0251,0.0138,0.6097,0.4661,0.0049,0.0045,0.0074,0.0003,0.0004,0.0168,0.0213,0.069,0.0,0.0,0.0,0.0
27_sad,o,False,mediapipe,Modified_images,0.0738,0.0875,0.0066,0.0617,0.0206,0.5274,0.516,0.003,0.002,0.006,0.0006,0.0008,0.0074,0.0079,0.0528,0.0,0.0,0.0,0.0
28_surprise,b,True,mediapipe,Modified_images,0.0011,0.0006,0.1479,0.6937,0.7065,0.045,0.0293,0.0461,0.2059,0.0023,0.0022,0.001,0.0,0.0,0.5407,0.0,0.0,0.0,0.0
28_surprise,g,True,mediapipe,Modified_images,0.0012,0.0006,0.1725,0.6729,0.7101,0.0289,0.0476,0.071,0.1825,0.0025,0.0036,0.0017,0.0,0.0,0.3035,0.0,0.0,0.0,0.0
28_surprise,l,True,mediapipe,Modified_images,0.0014,0.001,0.149,0.5839,0.6044,0.0336,0.0463,0.062,0.2225,0.0012,0.0021,0.0013,0.0,0.0,0.2872,0.0,0.0,0.0,0.0
28_surprise,o,True,mediapipe,Modified_images,0.0019,0.0009,0.0977,0.6507,0.6678,0.0363,0.0306,0.0613,0.2731,0.0014,0.0042,0.0026,0.0,0.0,0.5258,0.0,0.0,0.0,0.0
29_angry,b,False,mediapipe,Modified_images,0.6009,0.6708,0.0,0.0024,0.0024,0.639,0.4731,0.0028,0.0012,0.367,0.0157,0.0126,0.0001,0.0001,0.0077,0.0,0.0,0.0,0.0
29_angry,g,False,mediapipe,Modified_images,0.398,0.4487,0.0,0.0056,0.0078,0.734,0.4736,0.0065,0.0039,0.4044,0.0306,0.0217,0.0,0.0,0.0046,0.0,0.0,0.0,0.0
29_angry,l,False,mediapipe,Modified_images,0.3709,0.3523,0.0001,0.0017,0.0039,0.741,0.5898,0.0041,0.0019,0.3176,0.0834,0.1061,0.0042,0.0048,0.0027,0.0,0.0,0.0,0.0
29_angry,o,False,mediapipe,Modified_images,0.507,0.5804,0.0,0.0041,0.0041,0.715,0.5175,0.006,0.0045,0.3997,0.0538,0.0328,0.0,0.0,0.0065,0.0,0.0,0.0,0.0
2_disgust,b,False,mediapipe,Modified_images,0.0074,0.0239,0.0321,0.302,0.1113,0.1943,0.2468,0.0039,0.0023,0.0002,0.0176,0.0174,0.2991,0.3062,0.0728,0.0,0.0,0.0,0.0
2_disgust,g,False,mediapipe,Modified_images,0.0035,0.011,0.0579,0.398,0.1496,0.2731,0.4582,0.0046,0.006,0.0002,0.0442,0.0453,0.0857,0.0806,0.227,0.0,0.0,0.0,0.0
2_disgust,l,False,mediapipe,Modified_images,0.0036,0.0433,0.0963,0.2541,0.0676,0.1652,0.1709,0.0124,0.015,0.0015,0.3321,0.4499,0.2972,0.2741,0.0453,0.0,0.0,0.0,0.0
2_disgust,o,False,mediapipe,Modified_images,0.0063,0.0104,0.0507,0.3512,0.1891,0.2962,0.3859,0.0043,0.0062,0.0001,0.0631,0.0699,0.0414,0.0388,0.3424,0.0,0.0,0.0,0.0
30_disgust,b,False,mediapipe,Modified_images,0.4618,0.305,0.0877,0.0004,0.0027,0.581,0.3434,0.0021,0.0009,0.0009,0.7039,0.628,0.0051,0.0042,0.0032,0.0,0.0,0.0,0.0
30_disgust,g,False,mediapipe,Modified_images,0.6261,0.3329,0.0453,0.0002,0.0035,0.7503,0.3712,0.0027,0.0033,0.0005,0.8349,0.7763,0.0145,0.017,0.0048,0.0,0.0,0.0,0.0
30_disgust,l,False,mediapipe,Modified_images,0.4236,0.244,0.0065,0.0017,0.0215,0.5754,0.3311,0.0036,0.0034,0.0008,0.5272,0.3544,0.1089,0.135,0.0015,0.0,0.0,0.0,0.0
30_disgust,o,False,mediapipe,Modified_images,0.6055,0.3358,0.05,0.0002,0.0034,0.7836,0.3326,0.0027,0.0028,0.0003,0.824,0.7505,0.0172,0.0184,0.0065,0.0,0.0,0.0,0.0
