img_id,ambiguous,source,version,version_name,cosine_to_original,mean_absolute_change,entropy_change
25_happy,False,Humans (version-specific),b,Blur,0.9752823267321078,0.03274985883681536,0.018870310676323054
25_happy,False,Humans (version-specific),g,Greyscale,0.9607689228305227,0.06015037593984963,0.24670662388602083
25_happy,False,Humans (version-specific),l,Low resolution,0.9003353480179435,0.07001693958215696,0.0876067824592755
26_neutral,False,Humans (version-specific),b,Blur,0.37416573867739417,0.21978021978021975,-0.40095247124725253
26_neutral,False,Humans (version-specific),g,Greyscale,0.4638427389075043,0.19380619380619382,-0.43802204711755555
26_neutral,False,Humans (version-specific),l,Low resolution,0.4034788710460131,0.19120879120879122,-0.42751443141282397
27_sad,False,Humans (version-specific),b,Blur,0.97174573726123,0.0557029177718833,-0.06291619229034834
27_sad,False,Humans (version-specific),g,Greyscale,0.8716722768504426,0.08481473548939815,-0.14639013445833748
27_sad,False,Humans (version-specific),l,Low resolution,0.9764913202115265,0.03940886699507389,-0.09209590595833372
28_surprise,True,Humans (version-specific),b,Blur,0.8669214468630106,0.14906832298136646,-0.7375602662649684
28_surprise,True,Humans (version-specific),g,Greyscale,0.9119120440594574,0.09855072463768114,-0.2951701635928837
28_surprise,True,Humans (version-specific),l,Low resolution,0.8574387808033715,0.11466794075489727,-0.30404231458906206
29_angry,False,Humans (version-specific),b,Blur,0.9743174160254622,0.05442176870748299,0.2316320065248862
29_angry,False,Humans (version-specific),g,Greyscale,0.9911231923051657,0.03371783496007098,0.1446037371778418
29_angry,False,Humans (version-specific),l,Low resolution,0.9887584971798467,0.03918367346938776,0.18004556075367817
2_disgust,False,Humans (version-specific),b,Blur,0.9079855931509833,0.09216589861751152,0.18663363620381196
2_disgust,False,Humans (version-specific),g,Greyscale,0.9552357026015895,0.04897959183673469,-0.04711418452788857
2_disgust,False,Humans (version-specific),l,Low resolution,0.849577646962196,0.1142857142857143,-0.18771791178832586
30_disgust,False,Humans (version-specific),b,Blur,0.4387267976856654,0.18095238095238095,0.4183707848053334
30_disgust,False,Humans (version-specific),g,Greyscale,0.532948040099012,0.16326530612244897,0.4226203776736275
30_disgust,False,Humans (version-specific),l,Low resolution,0.6510180115869748,0.12987012987012986,0.3609184173335308
31_fear,False,Humans (version-specific),b,Blur,0.8393960363971785,0.12939325056828116,0.4248574214744895
31_fear,False,Humans (version-specific),g,Greyscale,0.9903751369442766,0.04511278195488722,-0.27579102906938496
31_fear,False,Humans (version-specific),l,Low resolution,0.9903751369442766,0.04511278195488722,-0.27579102906938496
32_happy,False,Humans (version-specific),b,Blur,0.9469475141451262,0.049230769230769224,0.0385964364264616
32_happy,False,Humans (version-specific),g,Greyscale,0.9757162520935708,0.04029304029304031,-0.08565686393328895
32_happy,False,Humans (version-specific),l,Low resolution,0.9138115486202573,0.08791208791208792,-0.3171995223057939
33_neutral,False,Humans (version-specific),b,Blur,0.9977851578566089,0.017857142857142856,-0.12014514586912392
33_neutral,False,Humans (version-specific),g,Greyscale,0.9518851368268351,0.08791208791208792,0.306656587854523
33_neutral,False,Humans (version-specific),l,Low resolution,0.9867460149568333,0.03726708074534162,0.07884265188420078
34_sad,False,Humans (version-specific),b,Blur,0.9148074042510733,0.08571428571428572,-0.07300812220692487
34_sad,False,Humans (version-specific),g,Greyscale,0.9807613032004019,0.033497536945812804,-0.017764863773231054
34_sad,False,Humans (version-specific),l,Low resolution,0.9020474545666525,0.08571428571428572,-0.152054310074554
3_fear,False,Humans (version-specific),b,Blur,0.969407316723498,0.04016672982190223,0.16448544902356804
3_fear,False,Humans (version-specific),g,Greyscale,0.8114597086668108,0.1136794240242516,-0.2696493938573552
3_fear,False,Humans (version-specific),l,Low resolution,0.9542424868399829,0.056795131845841784,-0.02418406975983084
4_happy,True,Humans (version-specific),b,Blur,0.4023461666189998,0.20009157509157507,-0.08550068542593892
4_happy,True,Humans (version-specific),g,Greyscale,0.816305037622049,0.08653846153846155,-0.007498250453747302
4_happy,True,Humans (version-specific),l,Low resolution,0.6760902823972504,0.16428571428571428,-0.568344384898454
5_neutral,False,Humans (version-specific),b,Blur,0.7104500193845968,0.13333333333333333,0.22919520859465184
5_neutral,False,Humans (version-specific),g,Greyscale,0.8025278867665655,0.15555555555555559,0.639031934479006
5_neutral,False,Humans (version-specific),l,Low resolution,0.7492134785475666,0.13968253968253969,0.4063685535911741
6_sad,False,Humans (version-specific),b,Blur,0.9458757059274912,0.061224489795918366,-0.1694747963363613
6_sad,False,Humans (version-specific),g,Greyscale,0.9404134892359588,0.05700211118930332,0.15024431940938338
6_sad,False,Humans (version-specific),l,Low resolution,0.9362131312195202,0.06122448979591837,-0.1471395642730539
7_surprise,True,Humans (version-specific),b,Blur,0.6012715305841442,0.13664596273291924,-0.08163252836148716
7_surprise,True,Humans (version-specific),g,Greyscale,0.6581451817144176,0.1739130434782609,-0.6240334708702852
7_surprise,True,Humans (version-specific),l,Low resolution,0.6417445029995386,0.12091097308488614,-0.0019298014047838263
8_angry,False,Humans (version-specific),b,Blur,0.9204492874440735,0.09523809523809525,-0.33005379305008936
8_angry,False,Humans (version-specific),g,Greyscale,0.8330339598307457,0.0857142857142857,-0.10242459392910752
8_angry,False,Humans (version-specific),l,Low resolution,0.9789641309524699,0.038827838827838815,0.09180315367441871
9_disgust,False,Humans (version-specific),b,Blur,0.8391118273172136,0.09566903684550743,0.1664180850422164
9_disgust,False,Humans (version-specific),g,Greyscale,0.929850571962226,0.06985871271585556,0.21333847057127225
9_disgust,False,Humans (version-specific),l,Low resolution,0.6861255693478695,0.14468864468864467,0.24523199922979438
10_fear,False,FER,b,Blur,0.9932535175335816,0.02020202020202019,0.05739881066545438
10_fear,False,FER,g,Greyscale,1.0,0.0,0.0
10_fear,False,FER,l,Low resolution,0.962307777224821,0.04329004329004328,-0.005479435710221581
11_happy,False,FER,b,Blur,0.9997875053099682,0.0057720057720057755,-0.05078564492850158
11_happy,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
11_happy,False,FER,l,Low resolution,0.9997875053099682,0.0057720057720057755,-0.05078564492850158
12_neutral,True,FER,b,Blur,0.9913651119913004,0.034681753889674684,-0.10856112884065966
12_neutral,True,FER,g,Greyscale,1.0000000000000002,0.0,0.0
12_neutral,True,FER,l,Low resolution,0.9807671013498899,0.03615275813295617,0.059213356318147725
13_sad,False,FER,b,Blur,0.9984010776263509,0.009985569985569995,0.02938553561912638
13_sad,False,FER,g,Greyscale,1.0,0.0,0.0
13_sad,False,FER,l,Low resolution,0.9849213868049591,0.02571428571428572,-0.014328180585473249
14_surprise,False,FER,b,Blur,0.8998660382197623,0.08333804809052334,-0.1801321826590122
14_surprise,False,FER,g,Greyscale,1.0000000000000002,0.0,0.0
14_surprise,False,FER,l,Low resolution,0.9235590120612578,0.06507936507936508,-0.11458097225227154
15_angry,True,FER,b,Blur,0.830425516584605,0.07855699855699856,-0.05297722510109493
15_angry,True,FER,g,Greyscale,1.0,0.0,0.0
15_angry,True,FER,l,Low resolution,0.9757082943275401,0.035786435786435776,-0.04261929407152509
16_disgust,False,FER,b,Blur,0.9443567078254539,0.09679653679653678,0.46687549849000526
16_disgust,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
16_disgust,False,FER,l,Low resolution,0.990195372787666,0.034256854256854256,0.11840659757203975
17_fear,True,FER,b,Blur,0.9279208689685999,0.05428571428571428,-0.006709935293166991
17_fear,True,FER,g,Greyscale,0.9999999999999999,0.0,0.0
17_fear,True,FER,l,Low resolution,0.9502052764115072,0.044582743988684594,0.053191019222314395
18_happy,True,FER,b,Blur,0.9826118092930355,0.028860028860028863,-0.04102942063277987
18_happy,True,FER,g,Greyscale,1.0000000000000002,0.0,0.0
18_happy,True,FER,l,Low resolution,0.9990663420567075,0.007243867243867242,0.025811971985890136
19_neutral,True,FER,b,Blur,0.9948711961081794,0.01731601731601733,0.05865706127197323
19_neutral,True,FER,g,Greyscale,1.0000000000000002,0.0,0.0
19_neutral,True,FER,l,Low resolution,0.9416213674933347,0.047359307359307365,-0.04291687844906744
1_angry,False,FER,b,Blur,0.8330754770899813,0.09936507936507936,0.2004062113123663
1_angry,False,FER,g,Greyscale,1.0,0.0,0.0
1_angry,False,FER,l,Low resolution,0.884870396248837,0.08658008658008658,0.20292040042248932
20_sad,True,FER,b,Blur,0.9433344299523057,0.060000000000000005,0.16667656828997945
20_sad,True,FER,g,Greyscale,1.0,0.0,0.0
20_sad,True,FER,l,Low resolution,0.9843989965949214,0.04,-0.14356295577219785
21_surprise,False,FER,b,Blur,0.9531301144468384,0.08848484848484849,-0.43135510999928517
21_surprise,False,FER,g,Greyscale,1.0,0.0,0.0
21_surprise,False,FER,l,Low resolution,0.9570278621473779,0.06857142857142857,0.19029531327982885
22_angry,False,FER,b,Blur,0.9998833311380816,0.005629420084865617,-0.04824942993446377
22_angry,False,FER,g,Greyscale,1.0,0.0,0.0
