img_id,version,ambiguous,angry,disgust,fear,happy,sad,surprise,neutral,n_ratings,version_name,assigned_category,dominant_emotion,entropy,source
14_surprise,g,False,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.0,0.0,0.6296296296296297,0.0,2.0,Greyscale,surprise,surprise,0.5459906725414216,Humans (version-specific)
14_surprise,l,False,0.0,0.0,0.09523809523809523,0.0,0.0,0.9047619047619048,0.0,2.0,Low resolution,surprise,surprise,0.16161702092673091,Humans (version-specific)
14_surprise,o,False,0.02857142857142857,0.17142857142857143,0.2,0.0,0.02857142857142857,0.5714285714285714,0.0,2.0,Original,surprise,surprise,0.5895237519689498,Humans (version-specific)
15_angry,b,True,0.75,0.0,0.0,0.0,0.0,0.0,0.25,2.0,Blur,angry,angry,0.28898309867585964,Humans (version-specific)
15_angry,g,True,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,2.0,Greyscale,angry,angry,0.11026159418540868,Humans (version-specific)
15_angry,l,True,0.5625,0.25,0.0,0.0,0.09375,0.0625,0.03125,2.0,Low resolution,angry,angry,0.6031752305137803,Humans (version-specific)
15_angry,o,True,0.7368421052631579,0.10526315789473684,0.0,0.0,0.0,0.0,0.15789473684210525,2.0,Original,angry,angry,0.38719283187150966,Humans (version-specific)
16_disgust,b,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Blur,disgust,disgust,-0.0,Humans (version-specific)
16_disgust,g,False,0.038461538461538464,0.7692307692307693,0.07692307692307693,0.0,0.0,0.11538461538461539,0.0,2.0,Greyscale,disgust,disgust,0.3975543921838633,Humans (version-specific)
16_disgust,l,False,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,2.0,Low resolution,disgust,disgust,0.1565519854537635,Humans (version-specific)
16_disgust,o,False,0.35714285714285715,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,1.0,Original,disgust,disgust,0.33493661641523553,Humans (version-specific)
17_fear,b,True,0.0,0.13043478260869565,0.5652173913043478,0.0,0.17391304347826086,0.08695652173913043,0.043478260869565216,2.0,Blur,fear,fear,0.6377861986391968,Humans (version-specific)
17_fear,g,True,0.0,0.0,0.5666666666666667,0.0,0.0,0.43333333333333335,0.0,2.0,Greyscale,fear,fear,0.35162556989718996,Humans (version-specific)
17_fear,l,True,0.0,0.0,0.25,0.0,0.0,0.0,0.75,1.0,Low resolution,fear,neutral,0.28898309867585964,Humans (version-specific)
17_fear,o,True,0.06060606060606061,0.06060606060606061,0.2727272727272727,0.0,0.12121212121212122,0.36363636363636365,0.12121212121212122,2.0,Original,fear,surprise,0.8086564928190942,Humans (version-specific)
18_happy,b,True,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,2.0,Blur,happy,happy,0.30744974986419643,Humans (version-specific)
18_happy,g,True,0.0,0.0,0.0,0.46153846153846156,0.15384615384615385,0.0,0.38461538461538464,1.0,Greyscale,happy,happy,0.5202351401448996,Humans (version-specific)
18_happy,l,True,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.4583333333333333,2.0,Low resolution,happy,happy,0.3544207468632831,Humans (version-specific)
18_happy,o,True,0.07142857142857142,0.03571428571428571,0.0,0.35714285714285715,0.07142857142857142,0.0,0.4642857142857143,2.0,Original,happy,neutral,0.6269366144737085,Humans (version-specific)
19_neutral,b,True,0.3076923076923077,0.0,0.0,0.0,0.23076923076923078,0.0,0.46153846153846156,1.0,Blur,neutral,neutral,0.5436558441391849,Humans (version-specific)
19_neutral,g,True,0.25925925925925924,0.037037037037037035,0.0,0.0,0.1111111111111111,0.0,0.5925925925925926,2.0,Greyscale,neutral,neutral,0.5273923215283626,Humans (version-specific)
