mediapipe_feature,target,n,pearson_correlation
mouthPucker,fer_fear,130,-0.046005598737889876
mouthPucker,fer_happy,130,-0.31338145318790134
mouthPucker,fer_sad,130,0.2580884083541504
mouthPucker,fer_surprise,130,0.17479794467682735
mouthPucker,fer_neutral,130,0.1152386624114002
mouthPucker,deepface_angry,140,-0.2002122566980967
mouthPucker,deepface_disgust,140,-0.044559092891421646
mouthPucker,deepface_fear,140,0.0068741226044937145
mouthPucker,deepface_happy,140,-0.27805376136803384
mouthPucker,deepface_sad,140,0.008557678243964476
mouthPucker,deepface_surprise,140,0.2605859733070164
mouthPucker,deepface_neutral,140,0.19151019202384995
mouthPucker,deepface_human_similarity,139,0.04791426771394188
mouthPucker,fer_human_similarity,130,0.11753001687539644
noseSneerLeft,human_pooled_reference_angry,139,
noseSneerLeft,human_pooled_reference_disgust,139,
noseSneerLeft,human_pooled_reference_fear,139,
noseSneerLeft,human_pooled_reference_happy,139,
noseSneerLeft,human_pooled_reference_sad,139,
noseSneerLeft,human_pooled_reference_surprise,139,
noseSneerLeft,human_pooled_reference_neutral,139,
noseSneerLeft,fer_angry,130,
noseSneerLeft,fer_disgust,130,
noseSneerLeft,fer_fear,130,
noseSneerLeft,fer_happy,130,
noseSneerLeft,fer_sad,130,
noseSneerLeft,fer_surprise,130,
noseSneerLeft,fer_neutral,130,
noseSneerLeft,deepface_angry,140,
noseSneerLeft,deepface_disgust,140,
noseSneerLeft,deepface_fear,140,
noseSneerLeft,deepface_happy,140,
noseSneerLeft,deepface_sad,140,
noseSneerLeft,deepface_surprise,140,
noseSneerLeft,deepface_neutral,140,
noseSneerLeft,deepface_human_similarity,139,
noseSneerLeft,fer_human_similarity,130,
noseSneerRight,human_pooled_reference_angry,139,
noseSneerRight,human_pooled_reference_disgust,139,
noseSneerRight,human_pooled_reference_fear,139,
noseSneerRight,human_pooled_reference_happy,139,
noseSneerRight,human_pooled_reference_sad,139,
noseSneerRight,human_pooled_reference_surprise,139,
noseSneerRight,human_pooled_reference_neutral,139,
noseSneerRight,fer_angry,130,
noseSneerRight,fer_disgust,130,
noseSneerRight,fer_fear,130,
noseSneerRight,fer_happy,130,
noseSneerRight,fer_sad,130,
noseSneerRight,fer_surprise,130,
noseSneerRight,fer_neutral,130,
noseSneerRight,deepface_angry,140,
noseSneerRight,deepface_disgust,140,
noseSneerRight,deepface_fear,140,
noseSneerRight,deepface_happy,140,
noseSneerRight,deepface_sad,140,
noseSneerRight,deepface_surprise,140,
noseSneerRight,deepface_neutral,140,
noseSneerRight,deepface_human_similarity,139,
noseSneerRight,fer_human_similarity,130,
cheekSquintLeft,human_pooled_reference_angry,139,
cheekSquintLeft,human_pooled_reference_disgust,139,
cheekSquintLeft,human_pooled_reference_fear,139,
cheekSquintLeft,human_pooled_reference_happy,139,
cheekSquintLeft,human_pooled_reference_sad,139,
cheekSquintLeft,human_pooled_reference_surprise,139,
cheekSquintLeft,human_pooled_reference_neutral,139,
cheekSquintLeft,fer_angry,130,
cheekSquintLeft,fer_disgust,130,
cheekSquintLeft,fer_fear,130,
cheekSquintLeft,fer_happy,130,
cheekSquintLeft,fer_sad,130,
cheekSquintLeft,fer_surprise,130,
cheekSquintLeft,fer_neutral,130,
cheekSquintLeft,deepface_angry,140,
cheekSquintLeft,deepface_disgust,140,
cheekSquintLeft,deepface_fear,140,
cheekSquintLeft,deepface_happy,140,
cheekSquintLeft,deepface_sad,140,
cheekSquintLeft,deepface_surprise,140,
cheekSquintLeft,deepface_neutral,140,
cheekSquintLeft,deepface_human_similarity,139,
cheekSquintLeft,fer_human_similarity,130,
cheekSquintRight,human_pooled_reference_angry,139,
cheekSquintRight,human_pooled_reference_disgust,139,
cheekSquintRight,human_pooled_reference_fear,139,
cheekSquintRight,human_pooled_reference_happy,139,
cheekSquintRight,human_pooled_reference_sad,139,
cheekSquintRight,human_pooled_reference_surprise,139,
cheekSquintRight,human_pooled_reference_neutral,139,
cheekSquintRight,fer_angry,130,
cheekSquintRight,fer_disgust,130,
cheekSquintRight,fer_fear,130,
cheekSquintRight,fer_happy,130,
cheekSquintRight,fer_sad,130,
cheekSquintRight,fer_surprise,130,
cheekSquintRight,fer_neutral,130,
cheekSquintRight,deepface_angry,140,
cheekSquintRight,deepface_disgust,140,
cheekSquintRight,deepface_fear,140,
cheekSquintRight,deepface_happy,140,
cheekSquintRight,deepface_sad,140,
cheekSquintRight,deepface_surprise,140,
cheekSquintRight,deepface_neutral,140,
cheekSquintRight,deepface_human_similarity,139,
cheekSquintRight,fer_human_similarity,130,
